author,statement,source,date,target
Ciara O'Rourke,“Pfizer admits there’s no vaccine approved by FDA.”,Bloggers,"October 14, 2021",FALSE
Laura Schulte,"“The annual Pentagon budget hovers over $750 billion annually, twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.”",Mark Pocan,"October 14, 2021",TRUE
Madison Czopek,“Roe was the end of women dying from abortions.”,Viral image,"October 13, 2021",half-true
Louis Jacobson,“Raising the debt limit is paying our old debts. It has nothing to do with new spending.”,Joe Biden,"October 13, 2021",mostly-true
Ciara O'Rourke,“Europe COMPLETELY BANS the Moderna vaccine for young people.”,Bloggers,"October 13, 2021",FALSE
Bill McCarthy,An image of empty grocery store shelves shows the effect of President Joe Biden's “Build Back Better” plan.,Kimberly Klacik,"October 13, 2021",FALSE
Tom Kertscher,"“Under part 2 of the infrastructure bill, upon death the entire value of your accumulated wealth and estate will be taxed at 61%.”",Viral image,"October 13, 2021",FALSE
Samantha Putterman,Photo shows hundreds of “sitting ships” waiting to dock at U.S. ports.,Viral image,"October 13, 2021",FALSE
Ciara O'Rourke,The Pfizer COVID-19 vaccines contain a deadly parasite.,Viral image,"October 13, 2021",pants-fire
Ciara O'Rourke,"“Vaxxed Delta pilot dies in-flight, emergency landing required.”",Bloggers,"October 13, 2021",FALSE
Alan Hovorka,"""The vast majority of the (refugees) coming into Fort McCoy are not the SIVs"" and some have ""no documentation at all.""",Patrick Testin,"October 13, 2021",mostly-true
Gabrielle Settles,“Paris police beat a woman for shopping at a mall with no vaccine passport.”,TikTok posts,"October 12, 2021",half-true
Noah Y.,"Department of Homeland Security “deemed as terrorism” behavior that includes “resisting COVID regulations” and “thinking the election was rigged.”...“In other words, if you are a Trump supporter, you are a terrorist.”",Instagram posts,"• October 12,",FALSE
Bill McCarthy,A photo shows paleontologists in Greece discovering the skeleton of a giant.,Facebook posts,"October 12, 2021",pants-fire
Jon Greenberg,A wind turbine “could never generate as much energy as was invested in building it.”,Viral image,"October 12, 2021",FALSE
Warren Fiske,“Terry (McAuliffe) calls in his friend Joe Biden to actually put the DOJ on Virginia parents.”,Glenn Youngkin,"October 12, 2021",pants-fire
Samantha Putterman,"“The Biden administration is attempting to empower the IRS to monitor every single withdrawal, deposit, and transaction you make from your personal banking accounts, PayPal, Venmo, etc.""",Candace Owens,"October 11, 2021",barely-true
Bill McCarthy,"“Countless Southwest Airlines employees have walked out of their jobs to oppose the vaccine mandate, causing operations to effectively shut down.”",Tweets,"October 11, 2021",FALSE
Gabrielle Settles,"""Bill Gates talked about using vaccines to control population growth” in an “unedited 2010 TED Talk video""",Bloggers,"October 11, 2021",FALSE
Jon Greenberg,"""Joe Biden’s attorney general wants the FBI to go after parents for speaking out at school board meetings to protect kids from radical curriculum like critical race theory.""",Rick Scott,"October 11, 2021",FALSE
Tom Kertscher,"""It's been confirmed that the Pfizer” COVID-19 “vaccine isn't guaranteed after six months.""",Kimberly Klacik,"October 8, 2021",barely-true
Bill McCarthy,Facebook planted Frances Haugen as its own pretend whistleblower.,Viral image,"October 8, 2021",pants-fire
Louis Jacobson,"“In case you forgot. Two years ago today, we were experiencing the greatest economy in the history of the world.”",Facebook posts,"October 8, 2021",FALSE
Paul Specht,Ted Budd’s family used AgriBioTech money to help “give donations to these Washington special interest groups that are running negative ads against me in the Senate race.”,Pat McCrory,"October 8, 2021",barely-true
Louis Jacobson,"“Were you aware the $3.5 Trillion Human Infrastructure package includes an animal agriculture tax of $2,600‼️ per head of cattle? $500 for swine!!!""",Facebook posts,"October 8, 2021",FALSE
Louis Jacobson,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",Joe Biden,"October 8, 2021",mostly-true
Tom Kertscher,"“CDC numbers” show that among children, the Pfizer and Moderna COVID-19 vaccines have a death rate “174 times higher” than the COVID-19 death rate.",Tweets,"October 7, 2021",pants-fire
Samantha Putterman,A person’s immune system “tanks” after their second COVID-19 vaccine dose.,YouTube videos,"October 7, 2021",FALSE
Bill McCarthy,"""You are more likely, as a child, to end up in the hospital because of the vaccine than you are because of COVID. That's data from the CDC and from VAERS.""",Will Cain,"October 7, 2021",FALSE
Tom Kertscher,President Joe Biden cut “$30 billion to Black colleges and universities.”,Viral image,"October 7, 2021",FALSE
Jon Greenberg,“There is no FDA approval for the Pfizer BioNTech vaccine for COVID-19.”,10 GOP Louisiana Lawmakers,"October 7, 2021",FALSE
Gabrielle Settles,“COVID internment camps announced in America: Tennessee governor signs EO authorizing National Guard to carry out COVID medical kidnappings.”,TikTok posts,"October 7, 2021",pants-fire
Jon Greenberg,“There are precious few religions that actually say you cannot” get vaccinated.,Anthony Fauci,"October 6, 2021",mostly-true
Amy Sherman,“Raising the debt limit is usually a bipartisan undertaking.”,Joe Biden,"October 6, 2021",half-true
Allison Garfield,“We do not have an approved (COVID) vaccine in America … the Pfizer vaccine available in the U.S. is not FDA approved.”,Ron Johnson,"October 5, 2021",FALSE
Elisa Contreras,"“We became a net exporter of natural gas in 2017, and until recently, our exports have exceeded our imports.”",Carol Miller,"October 5, 2021",half-true
Tom Kertscher,"""New data shows that death is proportional to dose"" for COVID-19.",Instagram posts,"October 5, 2021",FALSE
Maxwell Ionno,"“In West Virginia, a gallon of gas is nearly one dollar more than it was a year ago, and we’re paying about 30 cents more for a gallon of milk than we did at this time last year.”",Shelley Moore Capito,"October 5, 2021",mostly-true
Louis Jacobson,"""The pharmaceutical industry has 1,400 lobbyists on Capitol Hill right now trying to stop"" Medicare drug price negotiation.",Bernie Sanders,"October 5, 2021",half-true
Samantha Putterman,"“Sophia Stewart wrote books in the 70s that were stolen from her by Warner Bros. (Terminator 1-4 & The Matrix 1 & 2!) ... she won Hollywood's biggest lawsuit, $2.5 Billion.”",Instagram posts,"October 5, 2021",FALSE
Emma Copley,"“If you look at the hospitalizations at Ruby Memorial in West Virginia, and around the country, 90% to 95% of those hospitalized are unvaccinated.”",Kathryn Moffett Bradford,"October 5, 2021",TRUE
John Brumley,“Overdose deaths in WV are up 45% from the prior year.”,David McKinley,"October 5, 2021",TRUE
Jon Greenberg,Says 86% of COVID-19 cases in Israel in July were in fully vaccinated individuals.,TikTok posts,"October 5, 2021",FALSE
D.L. Davis,On tax cuts and repealing Wisconsin’s personal property tax on businesses.,Tony Evers,"October 5, 2021",half-flip
Noah Y.,"“This ‘infrastructure bill’ on page 2,385 presents a federal property tax of 3 percent on all homes and land - both residential and commercial.”",Facebook posts,"• October 4,",pants-fire
Amy Sherman,"“Approximately 60,000 Canadians currently live undocumented in the USA.”",Cori Bush,"October 4, 2021",mostly-true
Kiannah Sepeda-Miller,“75% of Republicans have been vaccinated” against COVID-19 in Illinois.,Terri Bryant,"October 3, 2021",FALSE
Gabrielle Settles,"""Millions have died from COVID injections.""",Bloggers,"October 1, 2021",pants-fire
Andy Nguyen,The Pfizer COVID-19 vaccine contains an “undisclosed ingredient. … How is informed consent possible?”,Instagram posts,"October 1, 2021",FALSE
Tom Kertscher,“The vaccination campaign” increased COVID-19 deaths by 175% in one year.,Viral image,"October 1, 2021",FALSE
Bill McCarthy,“Biden orders dishonorable discharge for 46% of troops who refuse vaccine.”,Instagram posts,"October 1, 2021",FALSE
Isabella Fertel,“There are now 56 cargo freighters anchored off the coast of California from Oakland to Long Beach in what can only be considered a manufactured supply-chain halt.”,Facebook posts,"October 1, 2021",barely-true
Jon Greenberg,Says Sens. Joe Manchin and Kyrsten Sinema “are Republicans … Just look at the way they vote.”,Don Lemon,"September 30, 2021",barely-true
Noah Y.,"Norway decided “that (the coronavirus) should be treated like other respiratory diseases, such as the flu or cold, because… it is no more dangerous than those mentioned.”",Bloggers,"• September 30,",FALSE
Amy Sherman,"“Arizona audit” shows 86,391 voters “don’t appear to exist.”",Facebook posts,"September 30, 2021",FALSE
Tom Kertscher,"""Pfizer launches final study for COVID drug that's suspiciously similar to 'horse paste'” ivermectin.",Bloggers,"September 30, 2021",FALSE
Samantha Putterman,"The government pays out ""$2,125/month in refugee benefits to refugees resettled in the United States,"" while Social Security recipients “who have paid into the system their whole lives receive $1,400/month on average.""",Instagram posts,"September 30, 2021",barely-true
Louis Jacobson,The White House “created a fake set for (President Joe) Biden to get his booster shot. The entire Biden presidency is one giant charade.”,Facebook posts,"September 30, 2021",FALSE
Gabrielle Settles,VAERS reports show that babies whose mothers got the COVID-19 vaccine died after breastfeeding.,Instagram posts,"September 30, 2021",FALSE
Tom Kertscher,"The audit of the 2020 presidential election in Maricopa County, Ariz., “cost the taxpayers $6 million.”",Instagram posts,"September 30, 2021",barely-true
Laura Schulte,Says the U.S. National Archives put a ‘harmful content’ warning on our nation’s Founding documents.,Glenn Grothman,"September 30, 2021",half-true
Noah Y.,The Biden-backed infrastructure bill contains a provision establishing a per-mile driving tax.,Facebook posts,"• September 29,",FALSE
Tom Kertscher,"There are 500,000 “missing kids a year.”",Viral image,"September 29, 2021",barely-true
Amy Sherman,Arizona “could decertify” the 2020 presidential election,Facebook posts,"September 29, 2021",pants-fire
Jon Greenberg,Democrats “want to tax your retirement funds to pay for their new trillion dollar power grab.”,Common Sense Leadership Fund,"September 29, 2021",barely-true
Tom Kertscher,“The Democrats want you American taxpayers to shell out $3 billion for ‘non-racist’ trees.”,FreedomWorks,"September 29, 2021",barely-true
Warren Fiske,On qualified immunity,Terry McAuliffe,"September 29, 2021",full-flop
Bill McCarthy,"A 13-year-old girl ""is now in critical care in the hospital here in Halifax because her heart stopped right after she had a vaccine.""",Instagram posts,"September 28, 2021",FALSE
Noah Y.,News cameras “shut off” just as Biden was asked if he gave the Taliban a “hit list” of evacuating American and Afghan officials.,Facebook posts,"• September 28,",FALSE
Amy Sherman,Says Biden “didn’t win in Arizona. He lost in Arizona based on the forensic audit.”,Donald Trump,"September 28, 2021",pants-fire
Louis Jacobson,"A funeral home used a truck to advertise the message ""Don't get vaccinated.""",Instagram posts,"September 28, 2021",barely-true
Samantha Putterman,"""Breaking news — US Supreme Court has canceled universal vaccination in the United States.""",Instagram posts,"September 28, 2021",FALSE
Bill McCarthy,"""Maricopa County official purged machine records before audit started.""",Instagram posts,"September 28, 2021",FALSE
Victoria Knight,Insurance companies and Washington bureaucrats “are working together to swipe $500 billion from Medicare to pay for Pelosi and Schumer’s out-of-control spending spree.”,60 Plus Association,"September 28, 2021",FALSE
Tom Kertscher,"“The yearly cost of religious tax exemptions: $71 billion. If the church paid taxes, everyone would only have to pay 3% taxes.”",Viral image,"September 28, 2021",FALSE
Paul Specht,Children and teen suicide attempts “skyrocketed 250% in 2020” according to “one study done by a hospital.”,Madison Cawthorn,"September 27, 2021",barely-true
Tom Kertscher,“The NAACP wants” the Confederate Memorial Carving “sandblasted off Stone Mountain.”,Viral image,"September 27, 2021",half-true
Tom Kertscher,"""Verizon promotes defunding the police and (the) idea that America is fundamentally racist.""",TikTok posts,"September 27, 2021",barely-true
Madison Czopek,"Says doctors received a letter stating that if they “say anything bad about the vaccine,” they are “at risk of losing their medical license. How messed up is that s---?”",TikTok posts,"September 27, 2021",FALSE
Noah Y.,"“The Arizona forensic audit found over 17,000 duplicates of votes.”",Facebook posts,"• September 27,",FALSE
Jon Greenberg,"“Democrats are responsible for the massive spending and debt growth, they alone need to take responsibility for raising the debt limit.”",Rick Scott,"September 27, 2021",barely-true
Samantha Putterman,The FDA advisory board said unvaccinated people are more educated than most people who have gotten the COVID-19 vaccines.,Instagram posts,"September 24, 2021",FALSE
D.L. Davis,"The GOP-controlled Legislature has ""refused to act on at least 150"" appointees of Gov. Tony Evers.",Chris Larson,"September 24, 2021",TRUE
Gabrielle Settles,Says Canadian Prime Minister Justin Trudeau and wife Sophie faked their COVID-19 vaccinations on live television.,Facebook posts,"September 24, 2021",FALSE
Tom Kertscher,"Says Joe Biden said: “If Haiti just quietly sunk into the Caribbean, or rose up 300 feet, it wouldn’t matter a whole lot in terms of our interests.”",Instagram posts,"September 24, 2021",half-true
Jill Terreri,"Under Mayor Byron Brown, “we’ve been defunding community centers, our pools were closed this summer, we’ve been defunding senior and youth services.”",India Walton,"• September 24,",barely-true
Madeline Heim,“Wisconsin Governor (Tony) Evers wanted to raise your taxes by $1 billion in a pandemic. Republicans stopped him and delivered the largest tax CUT in state history.”,Alberta Darling,"September 24, 2021",mostly-true
Andy Nguyen,"A ""Liability Warning Acknowledgement Form"" allows a worker to sue their company if they get injured from the COVID-19 vaccine.",Facebook posts,"September 23, 2021",FALSE
Amy Sherman,Haitian migrants took an implausible route to Texas-Mexico border area.,Facebook posts,"September 23, 2021",barely-true
Jon Greenberg,"“As a result of the massive decline in natural gas prices, we’re saving 11,000 lives per year in the U.S.”",Gary Palmer,"September 23, 2021",half-true
Warren Fiske,“Time and again Glenn Youngkin has made it clear: He would ban abortion as governor.”,Terry McAuliffe,"September 23, 2021",half-true
Tom Kertscher,"""Pfizer vaccine kills more people than it saves.""",Steve Kirsch,"September 22, 2021",pants-fire
Ciara O'Rourke,Says the COVID-19 vaccine doesn’t “prevent catching or spreading” the virus “and only lasts months.”,Facebook posts,"September 21, 2021",FALSE
Duncan Slade,"“West Virginia University just came out with a study that showed that there will be almost 20,000 jobs created in clean energy in West Virginia if (President Joe Biden’s) agenda is passed.”",Jennifer Granholm,"September 21, 2021",half-true
Ciara O'Rourke,“The CDC and county health officials have obtained 2020 Census records to enhance their vaccination enforcement protocols.”,Bloggers,"September 21, 2021",pants-fire
Laura Schulte,“President Biden has created more jobs in his first 7 months than any POTUS in history.”,Gwen Moore,"September 21, 2021",half-true
Zach DeLuca,The United States spent “2 trillion dollars to train and equip the Afghan military over the past 20 years. They fell in a week.”,Richard Ojeda,"September 21, 2021",half-true
Tom Kertscher,"""Peak active cases” of COVID-19 for 2020 vs. 2021 show “this is not a ‘pandemic of the unvaccinated.'""",Viral image,"September 20, 2021",FALSE
Ciara O'Rourke,Photos show the health ministers of Canada and Los Angeles.,Viral image,"September 20, 2021",FALSE
Ciara O'Rourke,Photo shows a gravestone in Japan with a QR code.,Viral image,"September 20, 2021",FALSE
Tom Kertscher,"“Hundreds of thousands died after taking the advice of these celebrities,” who are “aiding and abetting mass murder” by advocating COVID-19 vaccination.",Facebook posts,"September 20, 2021",FALSE
Paul Specht,"Says U.S. left 33 Black Hawks to the Taliban, which has more than “85%” of all countries.",Richard Hudson,"September 19, 2021",half-true
Ciara O'Rourke,“CDC says expect a polio-like outbreak coming in children in the next four months.”,Instagram posts,"September 17, 2021",FALSE
Ciara O'Rourke,"Says Tim Tebow wrote, “The government might be preparing us for a cashless society, but it was predicted by the Bible.”",Viral image,"September 17, 2021",FALSE
Noah Y.,Says President Joe Biden told people to get vaccinated against COVID-19 to protect themselves from hurricanes.,TikTok posts,"• September 17,",FALSE
Tom Kertscher,The Pfizer COVID-19 vaccine “is not approved.”,TikTok posts,"September 17, 2021",FALSE
D.L. Davis,"""No other country on the planet witnesses the number of gun deaths that
we do here in the United States, and it’s not even close.""",Melissa Agard,"September 17, 2021",barely-true
Natalie Dunlap,“My opponent wants to abolish” law enforcement.,Mariannette Miller-Meeks,"September 17, 2021",FALSE
Ciara O'Rourke,“Ida was the strongest hurricane to ever strike anywhere in the United States.”,Viral image,"September 17, 2021",FALSE
Gabrielle Settles,Photo shows Rihanna is pregnant,Facebook posts,"September 16, 2021",pants-fire
Gabrielle Settles,Says 2010 video clip showing coffins in a field proves “COVID was planned.”,Facebook posts,"September 16, 2021",pants-fire
Ciara O'Rourke,"Says Alexandria Ocasio-Cortez spent $30,000 to attend the Met Gala and “God knows how much on that dress.”",Viral image,"September 16, 2021",FALSE
Ciara O'Rourke,Says a new Apple update will “scan U.S iPhones for images.”,Viral image,"September 16, 2021",half-true
Alan Hovorka,Says he “is the only candidate in the Wisconsin Attorney General race with experience as a prosecutor.”,Eric Toney,"September 16, 2021",FALSE
Tom Kertscher,“Biden’s Treasury Department declares IRS will monitor” all accounts over $600.,Infowars,"September 15, 2021",barely-true
Ciara O'Rourke,"Says a CNN broadcast shows “400,000 votes just disappeared” in the California recall election.",Viral image,"September 15, 2021",FALSE
Jon Greenberg,People who “have recovered (from COVID-19) have very strong immunity.”,Ron DeSantis,"September 15, 2021",mostly-true
Ciara O'Rourke,“Ivermectin has been FDA approved for human use since 1996.”,Facebook posts,"September 15, 2021",mostly-true
Vanessa Swales,Says of Gov. Tony Evers and 2020 violence in Kenosha after the police shooting of Jacob Blake: “It took the loss of lives before help finally came.”,Empower Wisconsin,"September 15, 2021",FALSE
Lauren White,“It is a result of the $300 per month that working parents are now receiving for their young children that we have reduced childhood poverty in the United States by 50%.”,Bernie Sanders,"September 15, 2021",half-true
Ciara O'Rourke,“Biden orders VA to withhold benefits from unvaccinated veterans.”,Viral image,"September 14, 2021",pants-fire
Ciara O'Rourke,Video shows a child who tested positive for COVID-19 “being separated from their parents.”,Viral image,"September 14, 2021",FALSE
Isabella Fertel,"""California Has 1.8M More Registered Voters Than It Should”",Election Integrity Project California,"September 14, 2021",pants-fire
Tom Kertscher,"""The top 1% pays 90% of income taxes.”",Facebook posts,"September 14, 2021",FALSE
Amy Sherman,“Stunning report: nearly 15 million mail-in ballots were not counted in the 2020 election.”,Facebook posts,"September 14, 2021",barely-true
Madison Czopek,“Farmers stand in silence at auction so a young man can buy back his family farmhouse.”,Facebook posts,"September 14, 2021",FALSE
Tom Kertscher,"“Polling center tells some Republicans they ‘already voted’"" in the California recall election.",Breitbart,"September 14, 2021",half-true
Andy Nguyen,"""Japan says goodbye Moderna, hello ivermectin.""",Instagram posts,"September 14, 2021",barely-true
Ciara O'Rourke,Says the defense secretary texted all active military personnel saying they needed to get vaccinated by the following morning or “be court martialed.”,Instagram posts,"September 14, 2021",pants-fire
Warren Fiske,“The Parole Board operates with Mark Herring’s advice and consent.”,Jason Miyares,"September 14, 2021",FALSE
Tom Kertscher,"""Florida has had 119 hurricanes since 1850,” yet experts are saying “the last one was due to climate change.""",Viral image,"September 13, 2021",FALSE
Alan Hovorka,"""I'm the only front-line prosecutor in this race that's actually used the resources of the Wisconsin Crime Lab in the prosecution of cases.""",Eric Toney,"September 13, 2021",mostly-true
Jill Terreri,"Before 2020, “crime had been falling, every year, year after year, in the city of Buffalo.”",Byron Brown,"• September 11,",mostly-true
Sasha Hupka,"“California is moving folks out of encampments, into safe housing and getting them the mental health services they need.”",Gavin Newsom,"September 11, 2021",half-true
Chris Nichols,“I don’t believe the science suggests that young people should be vaccinated. I don’t believe that young people should have to wear masks at school. I’m not sure the science is settled on that at all.”,Larry Elder,"September 11, 2021",FALSE
Ciara O'Rourke,"Says TikTok found Cassie Compton, who has been missing from Arkansas since 2014.",Facebook posts,"September 10, 2021",FALSE
Tom Kertscher,“The Bidens own 10% of” a Chinese firm whose stock is up almost 300%” since Joe Biden was elected.,Viral image,"September 10, 2021",FALSE
Ciara O'Rourke,Says the Tampa Bay Buccaneers owner paid for a Wall Street Journal ad critical of the president.,Viral image,"September 10, 2021",FALSE
Noah Y.,“27 U.S. Air Force pilots resign over COVID-19 vaccination mandate.”,Facebook posts,"• September 10,",pants-fire
Ciara O'Rourke,“FEMA forcibly vaccinating Ida evacuees.”,Viral image,"September 10, 2021",FALSE
Andy Nguyen,"""Ivermectin sterilizes the majority (85%) of the men who take it.""",Facebook posts,"September 9, 2021",FALSE
Gabrielle Settles,Says Nancy Pelosi on Aug. 31 blocked members of Congress from reading aloud on the House floor the names of the 13 U.S. service members killed in Afghanistan.,Facebook posts,"September 9, 2021",barely-true
Jon Greenberg,“The frequency of hurricanes making landfall in the continental U.S. has declined slightly since 1900...There aren’t more powerful hurricanes either.”,Bjorn Lomborg,"September 9, 2021",half-true
Tom Kertscher,“President Putin bans mandatory vaccinations in Russia.”,Instagram posts,"September 9, 2021",FALSE
Amy Sherman,The Texas abortion law “provides at least six weeks for a person to be able to get an abortion.”,Greg Abbott,"September 9, 2021",FALSE
Ciara O'Rourke,"“Germany halts all Covid-19 vaccines, says they are unsafe and no longer recommended!!”",Bloggers,"September 9, 2021",FALSE
Ciara O'Rourke,Photo shows a Chinese restaurant sign that says “F--- DeSantis.”,Instagram posts,"September 9, 2021",pants-fire
Ciara O'Rourke,“Military arrests Hunter Biden!”,Bloggers,"September 8, 2021",pants-fire
Tom Kertscher,Says a demonstration with an air quality monitor shows that cloth masks are dangerous for children.,Facebook posts,"September 8, 2021",FALSE
Louis Jacobson,"Texas “ranks 50th in baby wellness checks, ranks 50th in clinical care for infants, ranks 50th in uninsured women, ranks 43rd in maternal mortality, ranks 44th in school funding per child, and ranks 46th in child hunger.”",Occupy Democrats,"September 7, 2021",half-true
Louis Jacobson,“All” Americans in Afghanistan who “have wanted to come out have come out.”,Charles Schumer,"September 7, 2021",FALSE
Ciara O'Rourke,Video shows “Pfizer lab in Madrid on fire.”,Viral image,"September 7, 2021",FALSE
Madison Czopek,“Bill Gates calls for the withdrawal of all Covid-19 Vaccines; ‘The vaccines are far more dangerous than anyone imagined.’”,Bloggers,"September 7, 2021",pants-fire
Andy Nguyen,The US government is trying to create food shortages by telling farmers to destroy their crops.,Viral image,"September 7, 2021",FALSE
Amy Sherman,"Women are ""disproportionately impacted by voter ID laws — especially married women who change their names, or those whose IDs do not accurately reflect their gender.""",Joe Biden,"September 7, 2021",mostly-true
Warren Fiske,The Virginia Employment Commission is sixth in the nation for getting benefits to eligible people quickly…”,Ralph Northam,"September 7, 2021",mostly-true
Brandon Mulder,"“In the last several months, the Biden administration has released over 7,000 illegal aliens who were COVID positive just in one Texas city.” Biden's border policies are ""endangering not just the people of Texas, but people all across the country.""",Ted Cruz,"September 3, 2021",FALSE
D.L. Davis,End of eviction moratorium means “millions of Americans” could lose their housing in the middle of a pandemic.,Mark Pocan,"September 3, 2021",TRUE
Miriam Valverde,"“The average hospital stay for a case of COVID-19 costs about $17,064. The vaccine is free.”",Pramila Jayapal,"September 2, 2021",mostly-true
Jon Greenberg,"“If these (telecom and internet) companies comply with the Democrat order to turn over private information, they are in violation of federal law and subject to losing their ability to operate in the United States.”",Kevin McCarthy,"September 2, 2021",FALSE
Gabrielle Settles,"Following Hurricane Ida, animals from Turtle Back Zoo in New Jersey are “fleeing the premises.”",Facebook posts,"September 2, 2021",pants-fire
Duncan Slade,"“Near Morgantown, WV, a Moderna shipment truck crashed, hazmat dispatched, airspace shut down and now apparently Emergency Response is claiming the Department of Defense took it over.”",Tweets,"September 2, 2021",half-true
Tom Kertscher,“New Israeli study finds fully vaccinated people are at ‘greater risk of hospitalization’ and 13 times more likely to catch COVID-19 than those who have recovered and have natural immunity.”,The Gateway Pundit,"September 1, 2021",half-true
Tom Kertscher,U.S. veteran group rescued Afghan allies “behind Biden’s back.”,The Gateway Pundit,"September 1, 2021",FALSE
Tom Kertscher,"The U.S. left the Taliban an “arsenal” in Afghanistan, including 358,530 assault rifles and 22,174 Humvees.",Viral image,"September 1, 2021",barely-true
Kiannah Sepeda-Miller,"Says the 1995 Chicago heat wave was “the largest single-day, non-war fatality in the United States” prior to 9/11, and “we are now expecting temperatures that hot in Chicago every summer.”",Sean Casten,"September 1, 2021",barely-true
Warren Fiske,Glenn Youngkin “called COVID relief ‘unnecessary.’”,Terry McAuliffe,"September 1, 2021",barely-true
Bill McCarthy,A video shows the “Taliban hanging someone from a helicopter.”,Tweets,"August 31, 2021",FALSE
Tom Kertscher,The COVID-19 vaccines “were released to the public after only two months of testing in healthy humans.”,Facebook posts,"August 31, 2021",barely-true
Miriam Valverde,"The Trump administration worked to free 5,000 Taliban prisoners.",Mitt Romney,"August 31, 2021",TRUE
Ciara O'Rourke,Photos show the U.S. service members killed in a 2021 suicide bombing in Kabul.,Viral image,"August 31, 2021",FALSE
Bill McCarthy,The mRNA COVID-19 vaccines are “really gene therapy.”,Joe Rogan,"August 31, 2021",FALSE
D.L. Davis,"In Afghanistan, “over 100 billion dollars spent on military contracts.”",Mandela Barnes,"August 31, 2021",TRUE
Samantha Putterman,“Friendly reminder: Cigarettes are FDA approved.”,Facebook posts,"August 30, 2021",FALSE
Madison Czopek,"Walmart is “kidnapping kids” and selling them, and this can be proven by searching “girls shoes $5,000” on Walmart.com.",Facebook posts,"August 30, 2021",pants-fire
Gabrielle Settles,“The Biden White House had no representative” who came to honor the return of the 13 service members’ remains at Dover Air Force Base.,Instagram posts,"August 30, 2021",pants-fire
Tom Kertscher,"The contagiousness of the coronavirus delta variant is “valued between 5 and 9½,” and if the value is closer to 10, “within six weeks, the whole country will test positive for delta, regardless of vaccination.”",TikTok posts,"August 30, 2021",barely-true
Ciara O'Rourke,Says President Joe Biden fell asleep during a meeting with Israel’s prime minister.,Viral image,"August 30, 2021",FALSE
Gabrielle Settles,Thalidomide was FDA-approved for pregnant women in the 1960s.,Facebook posts,"August 30, 2021",FALSE
Chris Nichols,"“California voters to be able to download ballots at home for recall election, sparking security concerns.”",Larry Elder,"August 27, 2021",barely-true
Bill McCarthy,"""Norfolk naval base has been taken by NATO.""",TikTok posts,"August 27, 2021",FALSE
Andy Nguyen,"White House, CDC, WHO and vaccine makers don’t require the COVID-19 vaccine for their workers.",Facebook posts,"August 27, 2021",barely-true
Ciara O'Rourke,Video shows “pupils in Nigeria running away from being vaccinated.”,Facebook posts,"August 27, 2021",FALSE
Tom Kertscher,Says a U.S. Air Force-insignia plane evacuating people from Afghanistan is fake.,Facebook posts,"August 27, 2021",FALSE
Emily Tian,“It would cost $20 billion to end homelessness in the U.S.” and “halting global warming would cost $300 billion.”,Facebook posts,"August 27, 2021",barely-true
Ciara O'Rourke,“No one has died of cancer or heart disease since the COVID-19 thing started.”,Viral image,"August 27, 2021",pants-fire
Jason Asenso,"“FDA approval means nothing when you realize the FDA also approves pesticides in our food!""",Facebook posts,"August 27, 2021",barely-true
Brandon Mulder,"""Democrats like to blame Republicans on (low vaccination rates). Well, the biggest group in most states are African Americans who have not been vaccinated. The last time I checked, over 90% of them vote for Democrats.""",Dan Patrick,"August 26, 2021",FALSE
Miriam Valverde,There has been “no question of our credibility from our allies around the world” regarding how the U.S. is withdrawing from Afghanistan.,Joe Biden,"August 26, 2021",half-true
Emily Tian,“Washington public school forces unvaccinated teens to wear ankle monitors” as a condition of playing team sports.,Facebook posts,"August 25, 2021",half-true
Samantha Putterman,75 doctors in South Florida walked out in protest as their hospital was flooded with unvaccinated COVID-19 patients,Instagram posts,"August 25, 2021",FALSE
Gabrielle Settles,"“It is the vaccinated, NOT the unvaccinated, spreading mutant variants.”",Facebook posts,"August 25, 2021",FALSE
Warren Fiske,On ending Virginia's income tax.,Glenn Youngkin,"August 25, 2021",half-flip
Tom Kertscher,“80% of women who have been jabbed have lost their children in the first trimester.”,Facebook posts,"August 24, 2021",FALSE
Ciara O'Rourke,“Pfizer CEO has not yet had vaccine.”,Instagram posts,"August 24, 2021",FALSE
Ciara O'Rourke,"Says Donald Trump said, “Do not be distracted by all this going on in Afghanistan. Always keep one eye on Washington D.C. A magician always distracts his audience.”",Viral image,"August 24, 2021",FALSE
Louis Jacobson,Former President Donald Trump “was blocked from getting troops out of (Afghanistan) by Liz Cheney and others.”,Warren Davidson,"August 24, 2021",barely-true
Bill McCarthy,The bomb threat near the U.S. Capitol on Aug. 19 was a false flag.,Tweets,"August 24, 2021",pants-fire
Amy Sherman,Al-Qaida is “gone” from Afghanistan.,Joe Biden,"August 23, 2021",FALSE
Jason Asenso,"""Twitter has suspended the account of Afghanistan’s elected President… and have allowed the Taliban to keep their accounts.""",Instagram posts,"August 23, 2021",half-true
Tom Kertscher,Says “31 U.S. troops” were “killed in Afghanistan yesterday.”,Facebook posts,"August 23, 2021",barely-true
Louis Jacobson,"The U.S. is “now importing 800,000 barrels of oil from Russia,” but that could have been prevented if the Keystone XL pipeline hadn’t been cancelled.",Facebook posts,"August 23, 2021",half-true
